physicianNumber;Name;Address;PhoneNumber;Email;Department;Specialty;WorkingHours
PH-2025-50;Dr. Guilherme Silva;Rua do Hospital, 50;910000050;guilherme.silva@hospital.pt;Dermatology;Dermatologist;09:00-17:00
PH-2025-51;Dra. Susana Silva;Rua do Hospital, 51;910000051;susana.silva@hospital.pt;General Medicine;General;09:00-17:00
PH-2025-52;Dr. Guilherme Neto;Rua do Hospital, 52;910000052;guilherme.neto@hospital.pt;Dentistry;Dentist;09:00-17:00
PH-2025-53;Dra. Liliana Almeida;Rua do Hospital, 53;910000053;liliana.almeida@hospital.pt;Pediatrics;Pediatrician;09:00-17:00
PH-2025-54;Dr. Daniel Cunha;Rua do Hospital, 54;910000054;daniel.cunha@hospital.pt;Cardiology;Cardiologist;09:00-17:00
PH-2025-55;Dra. Manuela Dias;Rua do Hospital, 55;910000055;manuela.dias@hospital.pt;Dermatology;Dermatologist;09:00-17:00
PH-2025-56;Dr. José Gouveia;Rua do Hospital, 56;910000056;jose.gouveia@hospital.pt;General Medicine;General;09:00-17:00
PH-2025-57;Dra. Tânia Silva;Rua do Hospital, 57;910000057;tania.silva@hospital.pt;Dentistry;Dentist;09:00-17:00
PH-2025-58;Dr. Daniel Faria;Rua do Hospital, 58;910000058;daniel.faria@hospital.pt;Pediatrics;Pediatrician;09:00-17:00
PH-2025-59;Dra. Andreia Almeida;Rua do Hospital, 59;910000059;andreia.almeida@hospital.pt;Cardiology;Cardiologist;09:00-17:00
PH-2025-60;Dr. Fábio Silva;Rua do Hospital, 60;910000060;fabio.silva@hospital.pt;Dermatology;Dermatologist;09:00-17:00
